40,3929
40,3922
40,3805
40,4069
40,4064
40,3875
40,3960
40,3864
40,3964
40,3869
40,3952
40,3861
40,3939
40,3966
40,3922
40,3975
40,3973
40,3852
40,3849
40,3886
40,3283
40,3487
40,3613
40,3283
40,3329
40,3309
40,3384
40,3499
40,3522
40,3379
40,3665
40,3290
40,3449
40,3564
40,3416
40,3495
40,3283
40,3484
40,3578
40,3389
40,3236
40,3232
40,3095
40,3076
40,3017
40,3253
40,3230
40,3240
40,3240
40,3132
40,3344
40,3116
40,3052
40,3079
40,3182
40,3080
40,3204
40,3236
40,3240
40,3240
40,3918
40,4570
40,4553
40,4185
40,4264
40,4029
40,3999
40,4199
40,3921
40,3966
40,4297
40,4173
40,4054
40,4057
40,4617
40,4136
40,4165
5,946
40,4225
40,4415
40,4204
40,4320
40,4343
40,4227
40,4465
40,4321
40,4345
40,4355
40,4290
40,4311
40,4446
40,4432
40,4305
40,4348
40,4273
40,4379
40,4418
40,4279
40,4250
40,4186
30,2920
30,2788
30,2853
30,2819
30,2741
30,2801
30,2699
30,2803
30,2841
30,2712
30,2805
30,2945
30,2955
30,2750
30,2762
30,2924
30,2846
30,2897
30,2822
30,2784
30,3133
30,3111
30,3233
30,2959
30,3057
30,3062
30,3162
30,3024
30,2966
30,3147
30,3053
30,3135
30,2939
30,3062
30,3173
30,3049
30,3158
30,3076
30,2926
30,2996
30,3636
30,3448
30,3340
30,3526
30,3325
30,3230
30,3369
30,3494
30,3405
30,3541
30,3626
30,3743
30,3390
30,3612
30,3558
30,3468
30,3602
30,3530
30,3632
30,3448
30,4808
3,1228
30,5057
30,5358
30,4880
30,5305
30,5272
30,5266
30,4648
30,5293
30,5124
30,5224
30,4754
3,1228
30,5217
30,4951
30,4909
30,4814
21,3916
30,5127
50,4497
50,4657
50,4469
50,4583
50,4540
50,4560
50,5029
50,4603
50,4608
50,4452
50,4659
50,4673
50,4520
50,4490
50,4537
50,4581
50,4453
50,4628
50,4550
50,4583
